ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
1,3.0,4360,4480,8.0
2,2.0,2582,4480,6.0
3,6.0,4107,4480,10.0
4,11.0,4074,4480,14.828427076339722
5,8.0,3943,4480,12.0
6,23.0,5701,4479,20.82842707633972
7,22.0,4620,4479,20.82842707633972
8,20.0,2572,4479,18.82842707633972
9,34.5,1504,4479,30.242640614509583
10,32.5,4176,4479,24.242640614509583
11,35.5,2420,4479,26.242640614509583
12,68.5,3064,4478,45.071067690849304
13,39.5,3031,4478,28.242640614509583
14,6.0,2391,4477,10.0
15,11.5,1576,4477,13.41421353816986
16,4.0,923,4477,8.0
17,77.5,4193,4478,39.899494767189026
18,53.0,4142,4478,28.485281109809875
19,59.0,3719,4478,38.485281229019165
20,66.0,2603,4478,34.485281229019165
21,113.5,2967,4478,48.72792184352875
22,113.0,2874,4478,53.31370830535889
23,154.0,2221,4478,72.97056245803833
24,11.0,4014,4473,12.828427076339722
25,150.0,2805,4476,54.14213514328003
26,86.5,1987,4477,51.899494767189026
27,39.0,3920,4473,23.656854152679443
28,224.0,2679,4475,73.9411244392395
29,62.0,2660,4476,40.97056233882904
30,19.5,1476,4472,17.41421353816986
31,187.5,1163,4476,59.071067690849304
32,12.0,650,4471,14.0
33,96.5,5162,4475,42.38477575778961
34,50.5,3889,4472,27.899494767189026
35,38.0,4697,4471,23.656854152679443
36,73.5,1591,4472,32.72792184352875
37,235.5,1244,4474,74.87005710601807
38,20.0,3752,4468,18.82842707633972
39,363.5,1093,4475,88.38477611541748
40,279.0,478,4475,72.62741649150848
41,8.5,4620,4467,11.41421353816986
42,151.5,2908,4474,70.04163014888763
43,20.0,916,4468,18.0
44,119.5,2199,4470,42.38477599620819
45,11.5,4216,4465,13.41421353816986
46,6.0,1449,4465,10.0
47,19.0,5423,4465,16.82842707633972
48,39.0,4652,4466,23.656854152679443
49,388.0,4333,4473,79.9411244392395
50,28.5,4182,4466,20.242640614509583
51,8.5,2229,4464,11.41421353816986
52,28.0,2221,4465,20.82842707633972
53,9.0,1257,4464,12.0
54,264.5,1215,4472,74.87005722522736
55,29.5,3087,4464,21.071067690849304
56,410.5,34,4472,81.69848418235779
57,237.5,6,4471,63.899494767189026
58,21.0,5967,4463,17.656854152679443
59,114.5,4634,4466,41.55634891986847
60,166.0,2182,4470,67.4558435678482
61,8.5,1456,4462,11.41421353816986
62,4.0,3079,4461,8.0
63,203.0,1561,4470,61.11269772052765
64,453.5,977,4474,153.8406194448471
65,43.0,4111,4462,24.485281229019165
66,313.0,900,4468,84.76955187320709
67,15.0,2227,4459,16.0
68,107.5,2031,4464,39.55634880065918
69,50.5,1232,4463,35.899494767189026
70,23.5,4492,4459,18.242640614509583
71,17.0,1635,4459,15.656854152679443
72,47.0,1626,4460,26.485281229019165
73,13.5,1936,4458,14.242640614509583
74,9.0,1217,4457,12.0
75,111.5,1179,4461,43.21320295333862
76,365.0,1010,4466,73.94112491607666
